SMILES,matched_by,matched_query,pubchem_cid,MW,nHBAcc,ALogP,FMF,HybRatio,nAcid,S1,S2,S3,S4,S5,S6
CC1C(NC(=O)N1)CCCCCC(=O)O,Name,Desthiobiotin,445027,214.2619137,5,0.9886,0.151515152,0.8,1,2510398.138,6151070.449,1824967.863,1510308.57,2187817.404,1955534.379
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,Name,Inosine,135398641,268.2264855,7,-2.1109,0.451612903,0.5,0,9457227.782,68476064.33,20475739.81,8143920.715,25043608.18,25639994.46
CC1=NC=C(C(=C1O)C(=O)O)CO,Name,4-Pyridoxic acid,6723,183.1616769,5,-0.3055,0.272727273,0.25,1,8662148.616,7546273.063,6790581.304,10225125.48,9665017.225,9743065.589
,,,,,,,,,,2952025.051,23376667.92,10658882.64,14979798.15,43150100.13,19029158.08
CC(=O)NCCCC(=O)O,Name,4-Acetamidobutanoic acid,18189,145.1566817,4,-0.6007,0,0.666666667,1,21896599.91,26670720.42,27293612.02,27786169.86,29756201.07,31475613.84
C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,Name,5-Hydroxyindole-3-acetic acid,1826,191.1837437,3,1.4953,0.391304348,0.1,1,11793504.09,19800986.06,14379805.13,46371251.67,23022635.52,16156095.19
CS(=O)CCC(C(=O)O)N,Name,Methionine sulfoxide,158980,165.2120308,4,-1.385,0,0.8,1,10189100.87,26600703.78,19858986.78,7856923.685,26736586.77,19635241.48
C(C(C(=O)O)N)C(=O)O,Name,L-Aspartic acid,5960,133.1028518,5,-1.2451,0,0.5,2,2583778.794,4774324.806,3549063.22,4696188.326,4991082.522,5278346.639
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,Name,Cytidine,6175,243.2169871,7,-0.9774,0.366666667,0.555555556,0,11787419.63,55517564.51,26475920.72,16257894.13,25588894.35,42161470.2
C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,Name,Folinic acid,135403648,473.4401122,13,-0.6202,0.315789474,0.3,2,249198.1618,309759.9446,296836.5645,321102.4164,373400.8009,351014.9496
CC(C)(CO)C(C(=O)NCCC(=O)O)O,Name,Pantothenic acid,6613,219.2353437,6,-0.977,0,0.777777778,1,835080.0547,1183706.168,496332.1155,1886866.9,1177049.5,20461598.1
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,Name,Nobiletin,72344,402.3953898,1,3.7308,0.31372549,0.285714286,0,1913009.08,2475182.336,2459133.657,1503337.028,2595716.057,3235609.745
CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C,Name,Shikonin,479503,288.295851,5,2.3941,0.27027027,0.25,0,9079415.26,11870647.78,7318405.216,26651637.02,14526197.53,12532635.41
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Name,Catechin,9064,290.2686386,5,1.9202,0.457142857,0.2,0,7115458.831,9924304.997,8477028.989,24836515.63,25166276.13,26186648.69
,,,,,,,,,,1290986.488,2521649.626,1423167.724,2994341.399,4101962.934,4833300.287
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,Name,Rutin,5280805,610.5185707,14,-0.2709,0.424657534,0.444444444,0,573403.9678,703229.2886,705552.874,1190200.216,1145390.036,1102939.003
CNC1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,Name,N2-Methylguanosine,135501934,297.2677468,8,-1.7605,0.388888889,0.545454545,0,1023142.936,4930729.515,2681528.25,1992423.448,4468294.879,3454852.079
C1C(C(OC1N2C=NC3=C2N=CNC3=O)CO)O,Name,2'-Deoxyinosine,135398593,252.2270806,6,-1.3446,0.466666667,0.5,0,243744.5197,4336975.874,1339873.163,525577.2106,1127951.689,1277447.6
CCCCCCCCC=CCCCCCCCC(=O)N,Name,Oleamide,5283387,281.4772807,2,6.2332,0,0.833333333,0,16343281951,9774535411,46010808492,694411591,401602466.6,156691981.6
CCCC(C(=O)O)N,Name,DL-Norvaline,824,117.1465408,3,0.3793,0,0.8,1,59797834.35,109139459.4,88304779.72,65776474.35,89900608.1,127348214
CCCCCCCCCCCCCCCC(=O)N,Name,Hexadecanamide,69421,255.4399274,2,5.7654,0,0.9375,0,2804612435,2016769181,9742815821,206218352.9,116064361,71451479.79
CCCCCCCCCCCCCCCCCC(=O)N,Name,Stearamide,31292,283.4931622,2,6.6778,0,0.944444444,0,1712409627,1103946290,4620451944,148474905.7,110984368.3,33311105.29
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,Name,Lactose,440995,342.2969815,11,-4.2603,0.288888889,1,0,124515663.8,603683612.4,230957024.4,129136095.1,377944015,161251938.9
CC(C)C(CCC(=O)O)C=CC(=C)CCC(=O)C,Name,(5E)-7-methylidene-10-oxo-4-(propan-2-yl)undec-5-enoic acid,51136285,252.3498313,3,2.884,0,0.6,1,34179597.22,17440618.28,31919294.08,56188412.08,39954608.61,43497873.94
CCCCCCCCCCCCCCC(C(C(CO)N)O)O,Name,"2-Amino-1,3,4-octadecanetriol",248575,317.5078535,4,4.1672,0,1,0,227624515.2,921621739.9,1117804912,780517263.4,2279611860,3495116194
CC(C)C(C(=O)O)N,Name,Valine,6287,117.1465408,3,0.2424,0,0.8,1,329313772.6,392840291.1,419948922.8,398040470.6,462182829.1,491533876.7
,,,,,,,,,,1328046893,1832667795,1510736620,2276517513,1852816720,2049626155
,,,,,,,,,,563989261,83143119.03,54488738,82103658.07,47226372.12,44656940.05
CN1CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC,Name,Laudanosine,73397,357.4441771,1,3.8461,0.320754717,0.428571429,0,65768166.15,33511159.4,44248668.59,17227744.88,31450677.03,34060466.92
CCC=CCC(C=CC(C(CCCCCCCC(=O)O)O)O)O,Name,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",23872026,328.4443749,5,3.2201,0,0.722222222,1,413485234.8,38398680.02,35952744.53,9821292.67,141221127.8,53173249.06
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC(C(CO)O)C(C(C=O)O)O)CO)CO)O)O)O)O,Name,Maltotetraose,123966,666.5786767,21,-7.9246,0.229885057,0.958333333,0,4704490.071,10075761.24,4030046.743,5300371.698,6275356.705,7240837.494
COC1=CC(=CC(=C1OC)OC)C(=O)O,Name,Gallic acid trimethyl ether,8357,212.1996727,2,1.3852,0.222222222,0.3,1,734011.3985,3523348.517,4134688.609,3999110.914,4353418.994,2099477.572
CCCCC1C2CCCC=C2C(=O)O1,Name,Sedanolide,5018391,194.2705742,2,3.3734,0.28125,0.75,0,88913788.95,82680966.86,69638255.58,89349186.31,87861232.06,85922715.78
CC12CCC3C(C1CCC2O)C(CC4=CC(=O)CCC34C)O,Other_name(Kegg_name),7alpha-Hydroxytestosterone,65541,304.4245379,3,2.1639,0.34,0.842105263,0,511000892.5,38605091.55,24066274.53,77146084.55,34944581.52,39343829.27
